REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,BUYER_DEA_NO,BUYER_BUS_ACT,BUYER_NAME,BUYER_ADDL_CO_INFO,BUYER_ADDRESS1,BUYER_ADDRESS2,BUYER_CITY,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,TRANSACTION_CODE,DRUG_CODE,NDC_NO,DRUG_NAME,QUANTITY,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_DATE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,TRANSACTION_ID,Product_Name,Ingredient_Name,Measure,MME_Conversion_Factor,Combined_Labeler_Name,Revised_Company_Name,Reporter_family,dos_str
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9143,60951060285,OXYCODONE,1.0,,,065945924,,,3192007,2.241,500.0,703045618,ENDOCET OXYCODO HCL5MG&AC TAB,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",McKesson Corporation,5.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9193,591320201,HYDROCODONE,1.0,,,,,,10192007,0.3027,100.0,710033173,HYDROCODONE BITARTRATE AND ACETA 5MG,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,5.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9193,591038501,HYDROCODONE,1.0,,,,,,11072007,0.45405,100.0,711027756,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,7.5
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9193,591038801,HYDROCODONE,1.0,,,,,,12312007,0.15135,100.0,712027808,HYDROCODONE BITARTARATE.2.5MG & ACET,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,2.5
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9193,591050205,HYDROCODONE,1.0,,,,,,1092008,2.27025,500.0,801029653,"HYDROCODONE BIT./ACET.,7.5MG & 650MG",HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,"Actavis Pharma, Inc.","Allergan, Inc.",McKesson Corporation,7.5
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9193,406035705,HYDROCODONE,1.0,,,,,,6102008,1.5135,500.0,806009096,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,5.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9193,406036301,HYDROCODONE,1.0,,,,,,12062010,0.6054,100.0,1012010498,HYDROCODONE BIT/ACETA 10MG/500MG USP,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,10.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9143,60951071270,OXYCODONE,2.0,,,111550502,,,3292011,1.793,200.0,1103070708,ENDOCET - 10MG OXYCODONE.HCL/325MG A,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",McKesson Corporation,10.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BB6819138,RETAIL PHARMACY,BOWLING GREEN PHARMACY,,121 TRAVIS STREET,PO BOX 796,BOWLING GREEN,VA,22427,CAROLINE,S,9143,60951060285,OXYCODONE,1.0,,,111550511,,,2012012,2.24125,500.0,1202058079,ENDOCET OXYCODO HCL5MG&AC TAB,OXYCODONE HYDROCHLORIDE,TAB,1.5,Par Pharmaceutical,"Endo Pharmaceuticals, Inc.",McKesson Corporation,5.0
PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES,BR3376046,CHAIN PHARMACY,"RITE AID OF VIRGINIA, INC.",RITE AID #3352,104 WEST BROADDUS AVENUE,,BOWLING GREEN,VA,22427,CAROLINE,S,9193,406036101,HYDROCODONE,1.0,,,,,,1032006,0.6054,100.0,601007518,HYDROCODO.BIT 10MG&AC USP TAB,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE,TAB,1.0,SpecGx LLC,Mallinckrodt,McKesson Corporation,10.0
